Node_Name,Node_Title,louvain
TimKahanek,TimKahanek,1
roz233,roz233,2
lavenderblue27,lavenderblue27,2
rencal4,rencal4,1
netminnow,netminnow,2
DaleF3,DaleF3,2
billgcta,billgcta,2
Progress2day,Progress2day,2
jodoservdeum7,jodoservdeum7,2
ccc1964,ccc1964,2
Panic_Report,Panic_Report,1
BMarsenison,BMarsenison,1
adri16,adri16,2
ZimJay,ZimJay,2
Papa_Gage,Papa_Gage,2
hardknoxfirst,hardknoxfirst,2
janbroni,janbroni,2
howard5591,howard5591,2
TPNNtweets,TPNNtweets,1
Olgold96,Olgold96,1
rpeter99,rpeter99,1
wdett,wdett,1
Serg_Gonzo,Serg_Gonzo,2
Imadancer821,Imadancer821,1
lafloran,lafloran,2
tootswee,tootswee,2
PattieCurran,PattieCurran,1
JaseSayre,JaseSayre,1
AaronLefort,AaronLefort,1
auntoona,auntoona,2
Genie2,Genie2,2
GABBI4CHRIST,GABBI4CHRIST,1
billk77,billk77,1
NanaOxford,NanaOxford,1
kevindandy1,kevindandy1,1
swell,swell,2
BJUmholtz,BJUmholtz,1
mike985,mike985,3
mistere777,mistere777,1
LiberalLogick,LiberalLogick,2
UnshackleUS,UnshackleUS,2
cbaumer10,cbaumer10,2
LDWood05,LDWood05,2
discombed,discombed,2
1_WILD_WOMAN,1_WILD_WOMAN,1
theindigi,theindigi,5
comancheblood,comancheblood,2
greenleeves,greenleeves,2
Bassmavrik,Bassmavrik,1
lloydthomas4,lloydthomas4,2
RootsReboot,RootsReboot,3
occupybot,occupybot,2
oakAsfan24,oakAsfan24,2
STFUEveryone,STFUEveryone,2
lunatic63,lunatic63,1
GOPfashionista,GOPfashionista,1
nutzodriven,nutzodriven,1
DrexHawken,DrexHawken,1
Plmyers,Plmyers,1
blacklupin,blacklupin,2
debco430,debco430,1
kdayeh,kdayeh,1
40dollarBot,40dollarBot,3
Sivitary,Sivitary,1
MickStepp,MickStepp,2
redsteeze,redsteeze,1
k8natl,k8natl,1
NancyJakubiak,NancyJakubiak,2
tracielynne65,tracielynne65,1
fatdaddybulldog,fatdaddybulldog,1
DeannaChristia9,DeannaChristia9,1
JamesElecj1,JamesElecj1,1
ericjeremiassen,ericjeremiassen,1
TeeDee1,TeeDee1,1
mamacat2u,mamacat2u,1
onejimharris,onejimharris,1
GhengisMusic,GhengisMusic,1
ChristopherL33,ChristopherL33,1
19charles41,19charles41,3
blondeceo,blondeceo,1
superguts,superguts,2
Clarencegerardb,Clarencegerardb,1
Maggyw519,Maggyw519,2
justgrateful,justgrateful,2
sokeijarhead,sokeijarhead,1
David_M01,David_M01,1
MDarleneI,MDarleneI,2
LIpatriot1,LIpatriot1,1
RJfree1998,RJfree1998,1
WordBeau,WordBeau,2
MyDailyMusing,MyDailyMusing,1
TruthBlooms1,TruthBlooms1,2
Louis_Jo,Louis_Jo,1
HallettMatt,HallettMatt,1
nananb55,nananb55,1
Reenit,Reenit,1
NoreenR1,NoreenR1,1
hermanos,hermanos,5
Rockprincess818,Rockprincess818,1
toddtalk,toddtalk,1
MathFaithWorks,MathFaithWorks,1
amronsomar,amronsomar,1
YvonneBonne,YvonneBonne,2
thejaoana,thejaoana,2
wishispower,wishispower,2
r201top,r201top,2
becca51178,becca51178,1
RichNj5,RichNj5,2
OntieC,OntieC,2
lilspike,lilspike,2
gbeaver06,gbeaver06,2
ImmortalRites,ImmortalRites,2
jakecovo,jakecovo,2
Peacepox,Peacepox,2
Indybluebird,Indybluebird,2
calvinGodfrey1,calvinGodfrey1,2
longshipdriver,longshipdriver,2
Bigdog327,Bigdog327,2
PabonMatriarch,PabonMatriarch,2
nonnydee,nonnydee,2
truthglow,truthglow,2
RethugsNoMore,RethugsNoMore,2
thepoliticalcat,thepoliticalcat,2
cwakin,cwakin,1
Our4thEstate,Our4thEstate,2
dalnov,dalnov,2
JRN53,JRN53,2
GranBoisGal,GranBoisGal,2
leftnotright,leftnotright,2
mtrez_michelle,mtrez_michelle,2
txmattie,txmattie,2
mexirover,mexirover,2
yppykya,yppykya,2
deja1422,deja1422,2
Mamadoxie,Mamadoxie,1
sammy27932003,sammy27932003,2
supertascha,supertascha,2
adam_zander,adam_zander,2
KrArne,KrArne,2
groovyhippie4u,groovyhippie4u,2
ScarletCircus,ScarletCircus,4
WakeUpAmerica8,WakeUpAmerica8,4
JolandaMosley,JolandaMosley,2
_12th_man,_12th_man,1
cupcakekitty09,cupcakekitty09,2
paul_paule1,paul_paule1,2
HONESTMESSENGER,HONESTMESSENGER,1
MaryAnn_Jones,MaryAnn_Jones,2
CheLejm,CheLejm,4
whoneedsit,whoneedsit,2
NHLABOR_NEWS,NHLABOR_NEWS,2
Disabled2012,Disabled2012,2
across75z,across75z,2
newscrusader009,newscrusader009,2
cainmark,cainmark,2
ugotGod,ugotGod,3
DrFollower13,DrFollower13,3
YasserMohamed2,YasserMohamed2,10
freegena,freegena,3
Kate_Chase,Kate_Chase,2
afaduln,afaduln,2
my_observation,my_observation,2
ih8gops,ih8gops,2
lamproce,lamproce,2
Darthtater36,Darthtater36,2
bsonder,bsonder,2
Maldrakes,Maldrakes,2
1snafu2,1snafu2,2
Getsmart4,Getsmart4,2
MFL1956,MFL1956,2
ak2sandiego,ak2sandiego,2
Kanaheik,Kanaheik,1
ShellyLazoff,ShellyLazoff,2
OG_E_Supreme,OG_E_Supreme,2
doodlebug0,doodlebug0,2
brokenwing2005,brokenwing2005,2
abbyjo2001,abbyjo2001,2
kavn,kavn,2
p_staatz,p_staatz,2
760david,760david,2
MichaelDOReilly,MichaelDOReilly,2
jhonololu,jhonololu,2
MartiniGirl007,MartiniGirl007,2
billdad54,billdad54,2
thedigger666,thedigger666,2
chompie97,chompie97,2
LibertasLogos,LibertasLogos,1
Rabbit4Carrots,Rabbit4Carrots,1
washdcnews,washdcnews,1
NewRightMedia,NewRightMedia,1
TwitmoCat,TwitmoCat,2
PatHeibBrock,PatHeibBrock,2
BreakingNewz,BreakingNewz,1
InObamaLand,InObamaLand,1
USAGOP,USAGOP,1
DemocracyMotion,DemocracyMotion,1
bad_ass_chass,bad_ass_chass,3
Jenevalynne,Jenevalynne,1
corbantax,corbantax,3
wbconservative,wbconservative,1
aptucker,aptucker,1
mjbanks,mjbanks,1
preciseBlogs,preciseBlogs,1
DailyBaller,DailyBaller,1
ejfores,ejfores,1
CFHeather,CFHeather,1
GuitarHero1965,GuitarHero1965,1
WatchWhiteHouse,WatchWhiteHouse,3
chrisprynoski,chrisprynoski,5
derlea1972,derlea1972,1
Red__Rover,Red__Rover,1
HindaRifka,HindaRifka,1
rsh65,rsh65,1
WashingtonDCTea,WashingtonDCTea,1
lifeastronaut,lifeastronaut,2
Sleevetalkshow,Sleevetalkshow,1
BODIESOFLIGHT,BODIESOFLIGHT,2
jackjr90,jackjr90,3
mssenator,mssenator,2
latestwire,latestwire,1
ObamaWanaDingDo,ObamaWanaDingDo,1
dspannz,dspannz,4
MsRock4Ever,MsRock4Ever,2
jimantle,jimantle,1
xalisae,xalisae,1
Mathiasian,Mathiasian,1
wmathison,wmathison,1
kennytm95,kennytm95,2
RockinRobirt,RockinRobirt,1
jucmoney,jucmoney,3
CzarZellem,CzarZellem,1
frankzentura,frankzentura,4
Herrmann8er,Herrmann8er,1
Kathie1718,Kathie1718,1
iowakyjotex10,iowakyjotex10,1
courtneyds2012,courtneyds2012,3
HoRizoN_WaTcheR,HoRizoN_WaTcheR,1
olretiree,olretiree,1
HlaoRoo,HlaoRoo,2
WiseUpLibs,WiseUpLibs,1
vulcanbard,vulcanbard,2
VickeyRusso,VickeyRusso,2
BardOfEarth,BardOfEarth,2
kleytoncooper,kleytoncooper,2
dremmelqueen,dremmelqueen,2
julieque11,julieque11,2
TheCypressGang,TheCypressGang,1
AnonEMous1,AnonEMous1,1
devicetest2,devicetest2,3
deacondarrell,deacondarrell,1
Djkelwonder,Djkelwonder,3
SuSuSudio,SuSuSudio,1
lindasue0818,lindasue0818,2
JimVanstrom,JimVanstrom,2
dentay85,dentay85,1
sewinglady12345,sewinglady12345,2
filterednews,filterednews,1
morgansparhawk,morgansparhawk,1
Angellight21,Angellight21,2
JasonWellsM,JasonWellsM,3
fwdcrocblu,fwdcrocblu,2
AngelikaAsendor,AngelikaAsendor,3
amadorn,amadorn,3
OleSarge51,OleSarge51,1
BuckeyeMike1,BuckeyeMike1,1
NorthoverSteven,NorthoverSteven,1
jbmesser53,jbmesser53,1
Rebel_Bill,Rebel_Bill,1
WeRalldoingtime,WeRalldoingtime,3
Brendy438,Brendy438,1
AndrewE_Johnson,AndrewE_Johnson,1
jtLOL,jtLOL,1
Obomination1,Obomination1,1
RogerGrubbs,RogerGrubbs,4
acitrep,acitrep,1
southsalem,southsalem,1
America4Me3,America4Me3,1
dansden,dansden,2
mkfreeberg,mkfreeberg,1
nomukik,nomukik,1
NikitasDad,NikitasDad,1
dcseth,dcseth,1
jensan1332,jensan1332,1
nutjob,nutjob,1
Texastweetybird,Texastweetybird,1
MPeper,MPeper,1
backyardconserv,backyardconserv,1
AmauryBrelet,AmauryBrelet,1
sarahkallis,sarahkallis,1
LCaCera_PR,LCaCera_PR,3
goatman42749,goatman42749,1
HarrietBaldwin,HarrietBaldwin,1
Youngerman1,Youngerman1,1
Ringo6,Ringo6,1
BillBaar,BillBaar,1
alfiemoon20,alfiemoon20,1
patriotslog,patriotslog,1
dondanl,dondanl,2
SpudLovr,SpudLovr,2
PetitWendi,PetitWendi,2
CrankItUp6,CrankItUp6,2
Swiss46,Swiss46,1
DoorbellQueen,DoorbellQueen,2
hampgal7,hampgal7,2
Dekinblus,Dekinblus,2
Wintery_Knight,Wintery_Knight,3
DailyCaller,DailyCaller,1
StudeDwayne,StudeDwayne,1
rbmshow,rbmshow,1
I_Am_NickBailey,I_Am_NickBailey,1
meganstiles,meganstiles,1
branco09,branco09,1
PProeber,PProeber,1
fight4right,fight4right,1
joe_jg928,joe_jg928,2
0SweetSolace0,0SweetSolace0,1
BinghamForReal,BinghamForReal,1
SkilledEmail,SkilledEmail,3
dawnwn,dawnwn,1
timothyclark13,timothyclark13,1
III_Frogs,III_Frogs,1
sunsetarival,sunsetarival,1
earthangel903,earthangel903,1
wizard1953,wizard1953,2
MTBiking1,MTBiking1,1
SonnyRose33,SonnyRose33,1
mblapeer,mblapeer,1
chiefragingbull,chiefragingbull,1
revmining,revmining,1
misscorky,misscorky,1
InsuranceJess,InsuranceJess,1
barbarapittman1,barbarapittman1,1
clearfieldking,clearfieldking,3
Capegirl51,Capegirl51,1
mwgaus,mwgaus,1
doradoz423,doradoz423,1
cutiepi2u,cutiepi2u,1
doher30,doher30,1
Phalkor007,Phalkor007,1
saskamare,saskamare,1
NotBeltwayBaca,NotBeltwayBaca,3
Madgrandmatobe,Madgrandmatobe,1
DumbOlHousewife,DumbOlHousewife,1
sarahcgoldstein,sarahcgoldstein,1
debraraes,debraraes,1
SquirtyMcNuttin,SquirtyMcNuttin,1
EricFreimuth65,EricFreimuth65,1
akiraendo1,akiraendo1,3
viviananikolova,viviananikolova,3
darlene1980,darlene1980,1
politicallyrich,politicallyrich,1
ItsAlinaJo,ItsAlinaJo,2
hownowbrowncow,hownowbrowncow,1
gferrar,gferrar,1
ArrogantDemon,ArrogantDemon,2
TheTeaParty_net,TheTeaParty_net,1
asoldiersvoice,asoldiersvoice,2
J_is_Wisor,J_is_Wisor,1
Killfreak_chuck,Killfreak_chuck,1
drjoepastorek,drjoepastorek,1
BwellGroup,BwellGroup,1
neatknitz,neatknitz,1
AquilineMagda,AquilineMagda,1
bethanyshondark,bethanyshondark,1
Jbroks86,Jbroks86,1
RonaldCarbone,RonaldCarbone,1
steven_ayer,steven_ayer,1
gracels,gracels,2
ojailola,ojailola,2
AmorVincetOmnia,AmorVincetOmnia,1
Grracy,Grracy,2
joshuasharf,joshuasharf,1
Viasmom,Viasmom,1
gitmo62,gitmo62,1
_Orwell,_Orwell,2
AdrianaHeguy,AdrianaHeguy,11
mad_hiddy,mad_hiddy,2
Anon_Valkyrie,Anon_Valkyrie,2
MrsDavy5807,MrsDavy5807,2
kingzion,kingzion,1
canfax,canfax,2
78andcounting,78andcounting,2
sampuzzo,sampuzzo,2
maggiemae0412,maggiemae0412,2
sweetbay,sweetbay,2
DivaTomboy,DivaTomboy,4
Rapete78Ruthie,Rapete78Ruthie,1
Jwernly,Jwernly,2
mjgon64,mjgon64,2
pirate_larry,pirate_larry,2
CBedfordDC,CBedfordDC,1
larsenkim1,larsenkim1,2
Margaretherapy,Margaretherapy,2
Jeanabella,Jeanabella,2
jusjane6060,jusjane6060,1
ParableJean,ParableJean,2
SPeteDave,SPeteDave,2
earthhope2100,earthhope2100,2
aldenm3,aldenm3,2
sweetangelface,sweetangelface,2
bigl8551,bigl8551,2
lillymckim,lillymckim,1
2miche,2miche,2
JimW_JimW,JimW_JimW,1
dhaynes101,dhaynes101,2
chicozen76,chicozen76,2
ahmed_rabeeu,ahmed_rabeeu,2
NicFury78,NicFury78,1
StenoJenny,StenoJenny,1
maggiejaehnig,maggiejaehnig,1
forgotten_man_,forgotten_man_,1
nonsumdignus,nonsumdignus,1
Adluck12,Adluck12,1
MergeRightGOP,MergeRightGOP,1
corockymtns,corockymtns,1
cookphotoworks,cookphotoworks,1
Ashley_Thorel,Ashley_Thorel,1
SJCORepublicans,SJCORepublicans,1
mxfan20,mxfan20,1
Blessedtowin,Blessedtowin,2
DanCas2,DanCas2,2
Praedor,Praedor,2
r_geis,r_geis,1
Umar1092,Umar1092,3
globalwideviews,globalwideviews,3
JAMESWOOLWINE2,JAMESWOOLWINE2,1
gayle_ryan,gayle_ryan,1
ConNewsNow,ConNewsNow,1
robsattic,robsattic,12
Collin_Lyon,Collin_Lyon,1
Fair_Tax,Fair_Tax,1
CRmanda,CRmanda,13
aem5245,aem5245,1
JessieJaneDuff,JessieJaneDuff,1
OrganicSalonGal,OrganicSalonGal,3
bboomtown,bboomtown,3
NYGBGIRL,NYGBGIRL,1
Th3M3roV1nGiaN,Th3M3roV1nGiaN,1
AmeliaGMims,AmeliaGMims,2
natlawreview,natlawreview,3
DMarkWanner,DMarkWanner,1
anshaffer,anshaffer,13
pljulia50,pljulia50,1
gusvelarde,gusvelarde,3
GreenNanas,GreenNanas,8
dave_mears,dave_mears,1
JimEllisForUSA,JimEllisForUSA,2
Marble300,Marble300,1
LadyHuckleberi,LadyHuckleberi,1
Texgalleslie,Texgalleslie,1
SoGoSwell,SoGoSwell,1
wayros,wayros,1
FirstTeamTommy,FirstTeamTommy,1
stcampbell01,stcampbell01,1
justmejill,justmejill,1
UreapWatUsow,UreapWatUsow,1
lheal,lheal,1
L_Wheels,L_Wheels,1
cynicusprime,cynicusprime,1
jfrankcarr,jfrankcarr,1
Joshpkelly,Joshpkelly,1
The_Real_JML,The_Real_JML,1
GirlyMedicJen,GirlyMedicJen,1
wazup807,wazup807,1
KellieCGilmore,KellieCGilmore,12
marlenan21,marlenan21,2
EdieVP,EdieVP,2
WarrenGetchell,WarrenGetchell,2
Martie719,Martie719,2
MR_PRIME69,MR_PRIME69,5
wllththappened,wllththappened,1
SandyPhillipss,SandyPhillipss,1
TonyPhyrillas,TonyPhyrillas,1
SeanKCarter,SeanKCarter,1
jeffshaben,jeffshaben,1
cmpimental,cmpimental,1
pwm2,pwm2,1
lance4usa,lance4usa,1
Jordi747,Jordi747,1
BLKROCKET,BLKROCKET,2
camp2478,camp2478,1
tgimacb,tgimacb,1
YouGottaVote,YouGottaVote,2
pattimae,pattimae,2
happyloner,happyloner,2
Fleur_Me2,Fleur_Me2,1
Yummiestbigred,Yummiestbigred,2
miketarv415,miketarv415,1
silver_menehuni,silver_menehuni,4
tweet2u2,tweet2u2,1
MaeMee,MaeMee,1
jdgolfer72,jdgolfer72,1
dagank4,dagank4,1
LantzBurvant,LantzBurvant,1
Gas8128,Gas8128,1
